Iteration,Algorithm,Time,CPUTime,Expanded,Found,Steps,Directions,InitialBoard,Solvable,ProfundidadeMaximaDFS,QtdMovimentos,Seed,Inversoes,LinhaVazio,MemMBInicio,MemMBFim,PID
1,BFS,26.386027097702026,19.292124040999997,3233208,True,19,"['baixo', 'direita', 'baixo', 'esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'esquerda', 'esquerda', 'baixo', 'direita', 'direita', 'direita']","[[1, 2, 0, 4], [10, 5, 3, 6], [11, 14, 8, 7], [9, 13, 15, 12]]",True,,20,19852880,19,4,72.109375,660.921875,56658
1,DFS,14.458688974380493,6.944574042,3102031,False,0,[],"[[1, 2, 0, 4], [10, 5, 3, 6], [11, 14, 8, 7], [9, 13, 15, 12]]",True,30,20,19852880,19,4,74.546875,1848.359375,56658
1,A*,0.002374887466430664,0.0023726660000000003,188,True,19,"['baixo', 'direita', 'baixo', 'esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'esquerda', 'esquerda', 'baixo', 'direita', 'direita', 'direita']","[[1, 2, 0, 4], [10, 5, 3, 6], [11, 14, 8, 7], [9, 13, 15, 12]]",True,,20,19852880,19,4,76.46875,76.609375,56658
2,BFS,0.10483932495117188,0.048899541,12940,True,11,"['baixo', 'esquerda', 'cima', 'esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'direita', 'baixo', 'baixo', 'direita']","[[2, 5, 3, 4], [1, 6, 7, 0], [9, 10, 12, 8], [13, 14, 11, 15]]",True,,20,62674560,12,3,660.890625,638.625,56658
2,DFS,3.826115131378174,3.782067666,2129976,True,27,"['esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'esquerda', 'cima', 'cima', 'cima', 'esquerda', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'direita', 'baixo', 'direita', 'baixo']","[[2, 5, 3, 4], [1, 6, 7, 0], [9, 10, 12, 8], [13, 14, 11, 15]]",True,30,20,62674560,12,3,661.609375,622.671875,56658
2,A*,0.0006699562072753906,0.000670167,49,True,11,"['baixo', 'esquerda', 'cima', 'esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'direita', 'baixo', 'baixo', 'direita']","[[2, 5, 3, 4], [1, 6, 7, 0], [9, 10, 12, 8], [13, 14, 11, 15]]",True,,20,62674560,12,3,661.8125,661.859375,56658
3,BFS,26.901071071624756,19.603812375,3379480,True,19,"['esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'cima', 'esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'esquerda', 'baixo', 'direita']","[[5, 1, 2, 3], [6, 10, 12, 4], [13, 9, 8, 7], [14, 11, 15, 0]]",True,,20,97607872,22,1,620.921875,939.515625,56658
3,DFS,15.486625909805298,7.241970709,3358237,False,0,[],"[[5, 1, 2, 3], [6, 10, 12, 4], [13, 9, 8, 7], [14, 11, 15, 0]]",True,30,20,97607872,22,1,620.953125,1975.328125,56658
3,A*,0.0004987716674804688,0.0004987920000000001,33,True,19,"['esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'cima', 'esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'esquerda', 'baixo', 'direita', 'cima', 'esquerda', 'baixo', 'baixo', 'direita']","[[5, 1, 2, 3], [6, 10, 12, 4], [13, 9, 8, 7], [14, 11, 15, 0]]",True,,20,97607872,22,1,621.484375,621.5,56658
4,BFS,48.14672589302063,30.549971792,5142144,True,19,"['direita', 'direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'esquerda', 'cima', 'esquerda', 'baixo', 'esquerda', 'baixo', 'direita', 'direita', 'baixo', 'direita']","[[1, 2, 3, 7], [6, 0, 9, 8], [5, 10, 12, 4], [13, 14, 11, 15]]",True,,20,91974897,16,3,936.03125,686.28125,56658
