Iteration,Algorithm,Time,CPUTime,Expanded,Found,Steps,Directions,InitialBoard,Solvable,ProfundidadeMaximaDFS,QtdMovimentos,Seed,Inversoes,LinhaVazio,MemMBInicio,MemMBFim,PID
1,BFS,0.00074005126953125,0.0007374170000000001,90,True,4,"['baixo', 'direita', 'direita', 'direita', 'baixo']","[[1, 2, 3, 4], [0, 6, 7, 8], [5, 9, 10, 11], [13, 14, 15, 12]]",True,,5,59224551,6,3,72.203125,72.265625,56582
1,DFS,7.241405010223389,7.237624041,4165037,True,12,"['direita', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'direita', 'direita', 'baixo']","[[1, 2, 3, 4], [0, 6, 7, 8], [5, 9, 10, 11], [13, 14, 15, 12]]",True,30,5,59224551,6,3,72.265625,683.046875,56582
1,A*,0.00010609626770019531,0.0001065,6,True,4,"['baixo', 'direita', 'direita', 'direita', 'baixo']","[[1, 2, 3, 4], [0, 6, 7, 8], [5, 9, 10, 11], [13, 14, 15, 12]]",True,,5,59224551,6,3,74.640625,74.640625,56582
2,BFS,0.0004761219024658203,0.000475792,150,True,4,"['direita', 'baixo', 'esquerda', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 0, 7], [9, 10, 12, 8], [13, 14, 11, 15]]",True,,5,58541333,6,3,682.609375,682.640625,56582
2,DFS,2.0930049419403076,2.0908096670000003,1253499,True,4,"['direita', 'baixo', 'esquerda', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 0, 7], [9, 10, 12, 8], [13, 14, 11, 15]]",True,30,5,58541333,6,3,682.640625,536.28125,56582
2,A*,0.00014209747314453125,0.0001415,6,True,4,"['direita', 'baixo', 'esquerda', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 0, 7], [9, 10, 12, 8], [13, 14, 11, 15]]",True,,5,58541333,6,3,682.796875,682.796875,56582
3,BFS,0.0003380775451660156,0.000335334,102,True,4,"['direita', 'baixo', 'baixo', 'baixo', 'direita']","[[1, 0, 2, 4], [5, 6, 3, 8], [9, 10, 7, 12], [13, 14, 11, 15]]",True,,5,71321946,9,4,535.78125,535.78125,56582
3,DFS,7.002327919006348,6.997931666,4024977,True,12,"['direita', 'baixo', 'baixo', 'direita', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'esquerda', 'cima', 'direita', 'baixo']","[[1, 0, 2, 4], [5, 6, 3, 8], [9, 10, 7, 12], [13, 14, 11, 15]]",True,30,5,71321946,9,4,535.78125,705.453125,56582
3,A*,9.131431579589844e-05,9.1084e-05,6,True,4,"['direita', 'baixo', 'baixo', 'baixo', 'direita']","[[1, 0, 2, 4], [5, 6, 3, 8], [9, 10, 7, 12], [13, 14, 11, 15]]",True,,5,71321946,9,4,535.796875,535.796875,56582
4,BFS,0.0002942085266113281,0.00029191600000000003,86,True,4,"['baixo', 'esquerda', 'cima', 'direita', 'baixo']","[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 15, 0], [13, 14, 12, 11]]",True,,5,71676187,9,2,705.03125,705.03125,56582
4,DFS,7.186901092529297,7.179235917,4091268,False,0,[],"[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 15, 0], [13, 14, 12, 11]]",True,30,5,71676187,9,2,705.03125,716.984375,56582
4,A*,7.987022399902344e-05,7.991699999999999e-05,6,True,4,"['baixo', 'esquerda', 'cima', 'direita', 'baixo']","[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 15, 0], [13, 14, 12, 11]]",True,,5,71676187,9,2,705.046875,705.046875,56582
5,BFS,0.0004291534423828125,0.000418667,114,True,4,"['direita', 'direita', 'baixo', 'baixo', 'direita']","[[1, 2, 3, 4], [0, 5, 6, 8], [9, 10, 7, 12], [13, 14, 11, 15]]",True,,5,48266375,6,3,716.984375,716.984375,56582
5,DFS,1.3381869792938232,1.334593292,764627,True,26,"['direita', 'direita', 'direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'direita', 'direita', 'cima', 'esquerda', 'baixo', 'baixo', 'direita', 'cima', 'esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'baixo', 'direita', 'direita', 'baixo']","[[1, 2, 3, 4], [0, 5, 6, 8], [9, 10, 7, 12], [13, 14, 11, 15]]",True,30,5,48266375,6,3,716.984375,499.046875,56582
5,A*,9.202957153320312e-05,9.1542e-05,6,True,4,"['direita', 'direita', 'baixo', 'baixo', 'direita']","[[1, 2, 3, 4], [0, 5, 6, 8], [9, 10, 7, 12], [13, 14, 11, 15]]",True,,5,48266375,6,3,717.0,717.0,56582
